report_text,category,urgency
I heard a knocking sound from the engine when accelerating It started yesterday morning.,Engine Issue,Medium
The check engine light turned on after I started the car It started yesterday morning.,Engine Issue,Medium
The engine stutters and loses power while driving I've been experiencing this for two days.,Engine Issue,High
The engine stutters and loses power while driving,Engine Issue,High
The check engine light turned on after I started the car This occurs only when braking hard.,Engine Issue,High
There's a loud rattling in the engine compartment It became noticeable after my last service.,Engine Issue,Medium
The engine is overheating when idling It started yesterday morning.,Engine Issue,High
I heard a knocking sound from the engine when accelerating It became noticeable after my last service.,Engine Issue,High
The engin is overheating when idling I've been experiencing this for two days.,Engine Issue,High
The check engine light turned on after I started the car It happens randomly while driving.,Engine Issue,Medium
The check engine light turned on after I started the car It’s louder at higher RPMs.,Engine Issue,High
The check engine light turned on after I started the car It started yesterday morning.,Engine Issue,Medium
The engine stutters and loses power while driving This issue seems to worsen in cold weather.,Engine Issue,High
The engine is overheating when idling,Engine Issue,Medium
The engine is overheating when idling It happens randomly while driving.,Engine Issue,High
The check engine light turned on after I started the car It happens randomly while driving.,Engine Issue,High
There's a loud rattling in the engin compartment I've been experiencing this for two days.,Engine Issue,High
The check engine light turned on after I started the car It became noticeable after my last service.,Engine Issue,High
There's a loud rattling in the engine compartment This occurs only when braking hard.,Engine Issue,Medium
I heard a knocking sound from the engine when accelerating This occurs only when braking hard.,Engine Issue,High
I heard a knocking sound from the engine when accelerating,Engine Issue,High
I heard a knocking sound from the engine when accelerating It started yesterday morning.,Engine Issue,High
The engine is overheating when idling It became noticeable after my last service.,Engine Issue,High
The engine is overheating when idling This issue seems to worsen in cold weather.,Engine Issue,Medium
The engine is overheating when idling,Engine Issue,High
Brakes grab unevenly and cause jerking,Brake Issue,High
Brake warning light came on randomly It happens randomly while driving.,Brake Issue,High
The brake pedal feels soft when pressed,Brake Issue,High
Brakes grab unevenly and cause jerking,Brake Issue,High
I hear a squealing noise every time I apply the brakes I've been experiencing this for two days.,Brake Issue,High
I hear a squealing noise every time I apply the brakes This occurs only when braking hard.,Brake Issue,High
Brakes grab unevenly and cause jerking This issue seems to worsen in cold weather.,Brake Issue,High
I hear a squealing noise every time I apply the brakes,Brake Issue,High
Brake warning light came on randomly I've been experiencing this for two days.,Brake Issue,High
Brakes grab unevenly and cause jerking .,Brake Issue,High
Brake warning light came on randomly This issue seems to worsen in cold weather.,Brake Issue,High
There is a grinding sound when braking at low speeds This issue seems to worsen in cold weather.,Brake Issue,High
Brakes grab unevenly and cause jerking It became noticeable after my last service.,Brake Issue,High
The brake pedal feels soft when pressed It’s louder at higher RPMs.,Brake Issue,High
I hear a squealing noise every time I apply the brakes .,Brake Issue,High
There is a grinding sound when braking at low speeds  This happened recently..,Brake Issue,High
Brakes grab unevenly and cause jerking I've been experiencing this for two days.,Brake Issue,High
Brake warning light came on randomly,Brake Issue,High
There is a grinding sound when braking at low speeds This issue seems to worsen in cold weather.,Brake Issue,High
Brake warning light came on randomly,Brake Issue,High
Brakes grab unevenly and cause jerking  This happened recently..,Brake Issue,High
Brakes grab unevenly and cause jerking .,Brake Issue,High
Brake warning light came on randomly I've been experiencing this for two days.,Brake Issue,High
There is a grinding sound when braking at low speeds It’s louder at higher RPMs.,Brake Issue,High
There is a grinding sound when braking at low speeds It happens randomly while driving.,Brake Issue,High
The wheels feel loose when cruising,Tire Issue,High
The tire pressure sensor warning keeps flashing This issue seems to worsen in cold weather.,Tire Issue,Medium
There is a bulge in the sidewall of the rear tire It happens randomly while driving.,Tire Issue,High
There is a bulge in the sidewall of the rear tire .,Tire Issue,Medium
There is a bulge in the sidewall of the rear tire It’s louder at higher RPMs.,Tire Issue,High
The tire pressure sensor warning keeps flashing It happens randomly while driving.,Tire Issue,High
I feel a vibration in the steering wheel at high speeds It happens randomly while driving.,Tire Issue,Medium
I feel a vibration in the steering wheel at high speeds I've been experiencing this for two days.,Tire Issue,High
Tires thump every time I hit a bump,Tire Issue,Medium
One of the tires keeps losing air overnight,Tire Issue,Medium
