vehicle_id,vehicle_type,make,year,total_km,avg_daily_km,last_oil_change_km,days_since_oil_change,last_oil_filter_change_km,days_since_oil_filter_change,last_fuel_filter_change_km,days_since_fuel_filter_change,last_fuel_pump_change_km,days_since_fuel_pump_change,last_battery_change_km,days_since_battery_change,last_spark_plugs_change_km,days_since_spark_plugs_change,last_shock_absorbers_change_km,days_since_shock_absorbers_change,last_brake_fluid_change_km,days_since_brake_fluid_change,last_brake_pads_change_km,days_since_brake_pads_change,last_tires_change_km,days_since_tires_change,last_coolant_change_km,days_since_coolant_change,last_water_pump_change_km,days_since_water_pump_change,last_radiator_change_km,days_since_radiator_change,last_transmission_fluid_change_km,days_since_transmission_fluid_change,driving_condition,target_days_to_next_maintenance
1,Truck,MAN,2009,962171,202,959909,11,959666,13,950403,58,841211,599,919257,213,907433,271,911026,253,930416,157,952394,49,942742,97,923773,189,906190,277,862708,492,887143,371,Highway,65
2,Car,Toyota,2009,716622,149,707734,60,708569,54,671142,305,630293,579,636373,539,707035,64,647159,466,700699,106,704950,79,715263,9,666101,339,632608,564,587046,869,637754,530,Mixed,60
3,Truck,Scania,2005,1317463,220,1310965,29,1314027,16,1293854,108,1274756,195,1203538,517,1260917,257,1276180,187,1268348,224,1283730,153,1304723,58,1309884,35,1229610,400,1246375,324,1279333,173,Urban,82
4,Car,Hyundai,2010,300724,68,295873,73,298663,28,292710,119,295177,84,291610,135,282599,268,237700,924,253243,698,282325,273,285275,227,227746,1074,297897,44,185224,1697,261363,578,Highway,81
5,Car,Hyundai,2017,446230,187,441531,25,441736,24,401477,239,401532,239,414929,167,435856,56,377993,365,443141,17,445359,5,422704,126,383605,335,401615,238,365995,429,364299,439,Highway,47
6,Bus,Mercedes,2023,221835,387,220037,4,213380,22,177094,116,177716,114,122119,258,209842,31,201163,54,205625,42,174543,122,181995,103,204684,44,124865,251,117263,270,196667,65,Highway,71
7,Car,BMW,2017,432025,180,428713,19,422648,53,410971,117,353688,435,314071,654,378655,296,365988,366,415918,89,400713,174,383446,270,416333,87,350519,453,376342,310,356305,421,Urban,33
8,Truck,Ford,2011,862566,205,857116,27,853520,44,842674,97,683015,876,834640,136,803410,289,823273,191,821419,200,815583,229,818900,213,825534,181,814525,235,719285,699,831571,151,Highway,33
9,Bus,Mercedes,2003,2344724,355,2340562,12,2338676,17,2331931,36,2178967,467,2273124,202,2335218,27,2315003,84,2308835,101,2299448,127,2338263,18,2338314,18,2239361,297,2195119,421,2313531,88,Mixed,53
10,Truck,Ford,2017,256013,107,247090,84,253480,23,237784,171,197665,545,204690,480,177733,733,166953,832,255440,5,244339,109,218444,352,223992,299,243601,116,129010,1185,192205,596,Mixed,32
